ticker,catalyst_date,asset,indication
IOVA,2020-05-27,AMTAGVI (Lifileucel (LN-144)) - (TILVANCE-301),Refractory metastatic melanoma
SNY,2020-05-26,DUPIXENT (dupilumab),Atopic dermatitis 6-11 year-olds
REGN,2020-05-26,DUPIXENT (dupilumab),Atopic dermatitis 6-11 year-olds
BMY,2020-05-26,OPDIVO (nivolumab) and YERVOY (ipilimumab),First-line Non-small cell lung cancer (NSCLC)
EVFM,2020-05-22,PHEXXI (Amphora),contraceptive vaginal gel
TAK,2020-05-22,ALUNBRIG (brigatinib),ALK+ Metastatic Non-Small Cell Lung Cancer
AQST,2020-05-21,APL-130277,Parkinson’s Disease with motor fluctuations
AZN,2020-05-19,LYNPARZA (olaparib),Castration-Resistant Prostate Cancer
MRK,2020-05-19,LYNPARZA (olaparib),Castration-Resistant Prostate Cancer
RHHBY,2020-05-18,TECENTRIQ (atezolizumab) - IMpower110,Non-small cell lung cancer (NSCLC)
BMY,2020-05-15,OPDIVO (nivolumab) + YERVOY (ipilimumab),First-line Non-small cell lung cancer (NSCLC)
DCPH,2020-05-15,QINLOCK (ripretinib),Gastrointestinal Stromal Tumors (GIST) - fourth-line
BPMC,2020-05-15,AYVAKIT (avapritinib),Fourth-line GIST
BMY,2020-05-15,POMALYST (pomalidomide),Kaposi’s sarcoma
AZN,2020-05-08,LYNPARZA (olaparib) + AVASTIN (bevacizumab) - PAOLA-1,First-line ovarian cancer
LLY,2020-05-08,RETEVMO (Selpercatinib),"Non-small cell lung cancer, medullary thyroid cancer and thyroid cancer."
MRK,2020-05-08,LYNPARZA (olaparib) + AVASTIN (bevacizumab) - PAOLA-1,First-line ovarian cancer
NVS,2020-05-06,TABRECTA (capmatinib),Non-small cell lung cancer
INCY,2020-05-06,TABRECTA (capmatinib),Non-small cell lung cancer
AZN,2020-05-05,FARXIGA (Dapagliflozin),Heart failure
JNJ,2020-05-01,DARZALEX (Daratumumab) using ENHANZE,Multiple myeloma
GMAB,2020-05-01,DARZALEX (Daratumumab) using ENHANZE,Multiple myeloma
HALO,2020-05-01,DARZALEX (Daratumumab) using ENHANZE,Multiple myeloma
AMGN,2020-04-30,OTEZLA,Scalp Psoriasis
ANIP,2020-04-29,Cortrophin Gel,"Acute exacerbations of multiple sclerosis, rheumatoid arthritis, systemic lupus erythematous and ulcerative colitis"
GSK,2020-04-29,ZEJULA (Niraparib),Ovarian cancer
ZLAB,2020-04-29,ZEJULA (Niraparib),Ovarian cancer
UTHR,2020-04-28,Trevyent,Pulmonary Arterial Hypertension (PAH)
NBIX,2020-04-27,Opicapone,Parkinson's disease
SNY,2020-04-24,MenQuadfi,Meningococcal meningitis
GILD,2020-04-22,TRODELVY (sacituzumab govitecan),Triple-negative breast cancer
